EvtKaon,EvtPion,ctau,cosine
0.022768396843610036,0.2677665359720148,0.0010985411419875584,0.3
273.3441066870886,2993.802417747766,0.0010985411419875584,0.5
20060.87109046172,210870.0599969754,0.0010985411419875584,0.7
240150.7204887058,2458380.4052930586,0.0010985411419875584,0.9
0.0,0.0,0.001757510624854793,-0.7
0.0,0.0,0.001757510624854793,-0.5
0.0,0.0,0.001757510624854793,-0.3
0.0,0.0,0.001757510624854793,-0.1
4.349060924644418e-17,6.210364980471096e-16,0.001757510624854793,0.1
0.2697238030492428,3.223968820921999,0.001757510624854793,0.3
1617.230344337109,18108.19973230954,0.001757510624854793,0.5
84601.40918346499,916829.4865196258,0.001757510624854793,0.7
856406.5316570927,9122757.095502386,0.001757510624854793,0.9
0.0,0.0,0.002811768697974231,-0.7
0.0,0.0,0.002811768697974231,-0.5
